quote,source
"With great power comes great responsibility.","Uncle Ben, Amazing Spider-Man (Marvel)"
"Avengers... assemble!","Captain America, Avengers (Marvel)"
"I am Iron Man.","Tony Stark, Avengers Endgame comics insp. (Marvel)"
"I am... Groot.","Groot, Guardians of the Galaxy (Marvel)"
"Flame on!","Human Torch, Fantastic Four (Marvel)"
"Hulk smash!","Hulk, Incredible Hulk (Marvel)"
"Excelsior!","Stan Lee, Marvel Comics sign-off"
"Every breath you take is mercy from me.","Black Panther, New Avengers (Marvel)"
"Not even in the face of Armageddon. Never compromise.","Rorschach, Watchmen (DC)"
"You either die a hero, or live long enough to become the villain.","Harvey Dent/Two-Face, The Dark Knight (DC insp.)"
"I'm Batman.","Batman, various Batman comics (DC)"
"Why do we fall? So we can learn to pick ourselves up.","Alfred, Batman Begins (DC insp.)"
"Shazam!","Captain Marvel/Shazam, Shazam! (DC)"
"In brightest day, in blackest night, no evil shall escape my sight.","Green Lantern oath, Green Lantern (DC)"
"Holy something, Batman!","Robin, various Batman (DC)"
"It's not who I am underneath, but what I do.","Batman, Batman Begins (DC insp.)"
"Winter is coming.","Ned Stark, but DC Game of Thrones insp. crossovers"
"Bankai!","Ichigo Kurosaki, Bleach (manga)"
"Plus Ultra!","All Might, My Hero Academia (manga)"
"I'll take a potato chip... and EAT IT!","Light Yagami, Death Note (manga)"
"It's over 9000!","Vegeta, Dragon Ball Z (manga/anime)"
"Kamehameha!","Goku, Dragon Ball (manga)"
"Dattebayo!","Naruto Uzumaki, Naruto (manga)"
"Believe it!","Naruto Uzumaki, Naruto (manga)"
"I am the bone of my sword.","Archer, Fate/Stay Night (manga/anime)"
"Stand tall, shinobi no Hokage.","Naruto, Naruto Shippuden (manga)"
"Wood Style: Wooden Dragon!","Madara Uchiha, Naruto (manga)"
"Mugetsu!","Ichigo, Bleach (manga)"
"One For All!","Deku/Izuku Midoriya, My Hero Academia (manga)"
"Detroit... Smash!","All Might, My Hero Academia (manga)"
"Titan mode: activate!","Eren Yeager, Attack on Titan (manga)"
"Tatakae! (Fight!)","Eren Yeager, Attack on Titan (manga)"
"Bankai: Tensa Zangetsu!","Ichigo, Bleach (manga)"
"By the power of Greyskull!","He-Man, but Masters of Universe DC crossovers"
"Puny god.","Hulk to Thor, Avengers (Marvel)"
"This is my sworn duty!","Spider-Man, various (Marvel)"
"Expecto Patronum!","Harry Potter, but Marvel crossovers insp."
"No capes!","Edna Mode, Incredibles (Pixar/DC insp.)"
"Thwip!","Spider-Man web sound, Amazing Spider-Man (Marvel)"
"Wakanda Forever!","Black Panther, Black Panther (Marvel)"
"Say my name.","Deadpool, Deadpool (Marvel)"
"Maximum effort!","Deadpool, Deadpool (Marvel)"
"Chimichanga!","Deadpool, Deadpool (Marvel)"
"Justice League: roll out!","Cyborg, Justice League (DC)"
"Fear is the mind-killer.","Batman insp. Dune crossovers (DC)"
"Omae wa mou shindeiru. (You are already dead.)","Kenshiro, Fist of the North Star (manga)"
"Ata ta ta ta!","Jotaro Kujo, JoJo's Bizarre Adventure (manga)"
"ORA ORA ORA!","Star Platinum, JoJo's Bizarre Adventure (manga)"
"Muda da! (Useless!)","DIO, JoJo's Bizarre Adventure (manga)"
"WRYYYY!","DIO, JoJo's Bizarre Adventure (manga)"
"Zangetsu!","Ichigo, Bleach (manga)"
"Fullbring!","Ginjo, Bleach (manga)"
"Rasengan!","Naruto, Naruto (manga)"
"Shadow Clone Jutsu!","Naruto, Naruto (manga)"
"Amaterasu!","Sasuke Uchiha, Naruto (manga)"
"Susanoo!","Sasuke/Madara, Naruto (manga)"
"Geass!","Lelouch, Code Geass (manga/anime)"
"Live laugh love... darkness.","Batman, Dark Knight Returns (DC)"
"I am vengeance. I am the night.","Batman, Batman: Year One (DC)"
"With this treasure I summon...","Yugi Muto, Yu-Gi-Oh! (manga)"
"It's time to duel!","Yugi/Seto, Yu-Gi-Oh! (manga)"
"Heart of the Cards!","Yugi, Yu-Gi-Oh! (manga)"
"Blue-Eyes White Dragon!","Seto Kaiba, Yu-Gi-Oh! (manga)"
"Pikachu, use Thunderbolt!","Ash Ketchum, Pokemon (manga/anime)"
"Gotta catch 'em all!","Pokemon slogan, manga insp."
"Friendship is magic!","MLP, but Marvel crossovers"
"Say 'uncle'!","Spider-Man to foes, Amazing Spider-Man (Marvel)"
"True believers!","Stan Lee, Marvel Comics"
"Fair play? No holds barred!","Wolverine, X-Men (Marvel)"
"Bub.","Wolverine, X-Men (Marvel)"
"Snikt!","Wolverine claws, X-Men (Marvel)"
"X-Men, to the Blackbird!","Cyclops, X-Men (Marvel)"
"Make my day.","Dirty Harry, DC crossovers"
"Yippee-ki-yay.","Die Hard, Marvel/DC movies"
"May the Force be with you.","Star Wars, Marvel comics era"
"All your base are belong to us.","Zero Wing, manga-style memes"
"It's-a me!","Super Mario, Nintendo manga"
"Do a barrel roll!","Star Fox, game manga"
"Finish him!","Mortal Kombat, DC crossovers"
"Fatalities!","Shao Kahn, Mortal Kombat (DC)"
"You're next!","Scorpion, Mortal Kombat (DC)"
