line,source
"To be or not to be, that is the question.","Hamlet by William Shakespeare (English theatre, 1600s)"
"It was the best of times, it was the worst of times.","A Tale of Two Cities by Charles Dickens (English novel, 1859)"
"Call me Ishmael.","Moby-Dick by Herman Melville (American novel, 1851)"
"All animals are equal, but some animals are more equal than others.","Animal Farm by George Orwell (English satire, 1945)"
"I am an invisible man.","Invisible Man by Ralph Ellison (American novel, 1952)"
"Tomorrow, and tomorrow, and tomorrow.","Macbeth by William Shakespeare (English theatre, 1606)"
"In the beginning was the Word.","The Bible, Gospel of John (Ancient religious text)"
"The only way out is through.","The Second Coming by W.B. Yeats (Irish poem, 1919)"
"Do not go gentle into that good night.","Do Not Go Gentle into That Good Night by Dylan Thomas (Welsh poem, 1951)"
"Because I could not stop for Death, He kindly stopped for me.","Because I Could Not Stop for Death by Emily Dickinson (American poem, 1890)"
"The Road not taken can make all the difference.","The Road Not Taken by Robert Frost (American poem, 1916)"
"If music be the food of love, play on.","Twelfth Night by William Shakespeare (English theatre, 1602)"
"Les Misérables: Survivors.","Les Misérables by Victor Hugo (French novel, 1862)"
"It is a truth universally acknowledged.","Pride and Prejudice by Jane Austen (English novel, 1813)"
"War is peace. Freedom is slavery.","1984 by George Orwell (English dystopia, 1949)"
"Two households, both alike in dignity.","Romeo and Juliet by William Shakespeare (English theatre, 1597)"
"Midway upon the journey of our life, I found myself within a forest dark.","Inferno by Dante Alighieri (Italian epic poem, 1320)"
"Water, water, everywhere, Nor any drop to drink.","The Rime of the Ancient Mariner by Samuel Taylor Coleridge (English poem, 1798)"
"Happy families are all alike; every unhappy family is unhappy in its own way.","Anna Karenina by Leo Tolstoy (Russian novel, 1878)"
"The sky above the port was the color of television, tuned to a dead channel.","Neuromancer by William Gibson (Canadian sci-fi, 1984)"
"All the world's a stage.","As You Like It by William Shakespeare (English theatre, 1599)"
"I celebrate myself, and sing myself.","Song of Myself by Walt Whitman (American poem, 1855)"
"Man is born free, and everywhere he is in chains.","The Social Contract by Jean-Jacques Rousseau (French philosophy, 1762)"
"The life of man is of no more duration than the breath of his nostrils.","Plato's Republic (Greek philosophy, ~380 BC)"
"I wandered lonely as a cloud.","I Wandered Lonely as a Cloud by William Wordsworth (English poem, 1807)"
"Big Brother is watching you.","1984 by George Orwell (English dystopia, 1949)"
"Fear is the mind-killer.","Dune by Frank Herbert (American sci-fi, 1965)"
"Many years later, as he faced the firing squad.","One Hundred Years of Solitude by Gabriel García Márquez (Colombian magical realism, 1967)"
"It was inevitable: the scent of bitter almonds.","The House of the Spirits by Isabel Allende (Chilean novel, 1982)"
"The wind was a torrent of darkness among the gusty trees.","The Highwayman by Alfred Noyes (English poem, 1906)"
"Yo soy un hombre sincero De donde crece la palma.","Versos Sencillos by José Martí (Cuban poem, 1891)"
"The love of money is the root of all evil.","The Bible, 1 Timothy (Ancient religious text)"
