reference,source
"This is Sparta!","300 (movie kick meme)"
"Distracted Boyfriend","Stock photo meme"
"Drake Hotline Bling","Approval/disapproval meme"
"Success Kid","Fist-pump baby meme"
"Spongebob Mocking","Text alternation meme"
"One Does Not Simply","Boromir Lord of the Rings meme"
"Change My Mind","Steven Crowder meme"
"This Is Fine","KC Green dog in fire comic"
"Mocking SpongeBob","Alternating case meme"
"Expanding Brain","Escalating idea meme"
"You Shall Not Pass!","Gandalf Lord of the Rings"
"It's Over Anakin, I Have the High Ground","Obi-Wan Star Wars"
"Why You Always Lyin'?","Nicholas Fraser meme song"
"Arthur Fist","Clenched fist rage meme"
"Doge","Such wow doge meme"
"Bad Luck Brian","Awkward teen meme"
"Grumpy Cat","No meme"
"Surprised Pikachu","Obvious reaction meme"
"Roll Safe","Think about it guy meme"
"Hide the Pain Harold","Smiling old man meme"
"Blinking Guy","Guy blinking in surprise meme"
"Galaxy Brain","Ultimate idea meme"
"Is This a Pigeon?","Anime misunderstanding meme"
"American Chopper Argument","Father-son yelling meme"
"Drake Thumbs Down","Disapproval meme"
"Buff Doge vs Cheems","Power levels meme"
"You're Gonna Carry That Weight","Cowboy Bebop ending"
"It's-a me, Mario!","Super Mario Bros"
"Do a barrel roll!","Star Fox 64"
"All your base are belong to us","Zero Wing game meme"
"Leeroy Jenkins!","World of Warcraft raid meme"
"It's dangerous to go alone! Take this.","Legend of Zelda"
"Finish him!","Mortal Kombat fatality"
"Fataliiityyy!","Mortal Kombat Shao Kahn"
"You defuse bomb?","Baldi's Basics meme"
"Press F to pay respects","Call of Duty WW2"
"Grenade!","Call of Duty panic"
"Wanna see me do it again?","Achievement Hunter fail"
"Surprise motherfucker!","Pulp Fiction"
"English, motherfucker, do you speak it?","Jules Pulp Fiction"
"Say what one more time!","Jules Pulp Fiction"
"I'm sorry Dave, I'm afraid I can't do that.","HAL 9000 2001 Space Odyssey"
"May the Force be with you.","Star Wars"
"I am Groot.","Guardians of the Galaxy"
"I am Iron Man.","Avengers Endgame"
"Avengers... assemble!","Avengers"
"Wakanda forever!","Black Panther"
"Here's Johnny!","The Shining"
"I'll be back.","Terminator"
"Hasta la vista, baby.","Terminator 2"
"Life is like a box of chocolates.","Forrest Gump"
"Run, Forrest, run!","Forrest Gump"
"Show me the money!","Jerry Maguire"
"You can't handle the truth!","A Few Good Men"
"Nobody puts Baby in a corner.","Dirty Dancing"
"As you wish.","The Princess Bride"
"Inconceivable!","The Princess Bride"
"Winter is coming.","Game of Thrones"
"You know nothing, Jon Snow.","Game of Thrones"
"I drink and I know things.","Tyrion Game of Thrones"
"That's what she said.","The Office Michael Scott"
"Bears. Beets. Battlestar Galactica.","Jim The Office"
"Did I do thaaat?","Urkel Family Matters"
"D'oh!","Homer Simpson"
"Mmm... donuts.","Homer Simpson"
"To infinity and beyond!","Buzz Lightyear Toy Story"
"There is no spoon.","The Matrix"
"Welcome to the real world.","Morpheus The Matrix"
"I see dead people.","The Sixth Sense"
"Hakuna Matata!","The Lion King"
"Just keep swimming.","Dory Finding Nemo"
"Yo quiero Taco Bell.","Dog from commercial meme"
"Leaves from the vine","Uncle Iroh Avatar meme"
"Let me sing you the song of my people.","Drake and Josh"
"Whatchu talkin' 'bout Willis?","Diff'rent Strokes"
"Bazinga!","Sheldon Big Bang Theory"
"I'm not crazy, my mother had me tested.","Sheldon Big Bang Theory"
"Winter Soldier? More like Winter SLIDER!","Marvel meme"
"OK Boomer.","Generational meme"
"Yeet!","Vine throw meme"
"Skibidi","Skibidi Toilet meme"
"Rizz!","Charisma slang meme"
"Oh lawd he comin'","Spongebob panic meme"
"Big mood.","Relatable mood meme"
"No cap.","No lie slang"
"Periodt.","End of discussion meme"
"Slay queen.","Compliment meme"
"Smh.","Shaking my head meme"
"Lmao.","Laughing my ass off"
"Bruh.","Disbelief exclamation"
"Sus.","Among Us suspicious"
"Get out of here.","GTFOH meme"
"404 error: Gender not found.","Gender joke meme"
"Plants vs Zombies? More like ZOMBIES VS PLANTS!","Twisted title meme"
"Ight imma head out.","Spongebob leaving meme"
"Stonks.","Stock market meme"
"Trollface.","Problem? meme"
"Rage Comics: Forever Alone","Lonely face meme"
