line,source
"Bohemian Rhapsody: Is this the real life?","Queen (classic rock, 1975)"
"Yesterday, all my troubles seemed so far away.","The Beatles (pop classic, 1965)"
"Billie Jean is not my lover.","Michael Jackson (pop, 1982)"
"Like a rolling stone.","Bob Dylan (folk rock, 1965)"
"Stairway to Heaven: There's a lady who's sure.","Led Zeppelin (rock, 1971)"
"Imagine all the people living life in peace.","John Lennon (pop, 1971)"
"Hotel California: On a dark desert highway.","Eagles (rock, 1976)"
"Sweet Child O' Mine: She's got a smile.","Guns N' Roses (rock, 1987)"
"Smells Like Teen Spirit: Here we are now.","Nirvana (grunge, 1991)"
"Wonderwall: Today is gonna be the day.","Oasis (Britpop, 1995)"
"Shape of You: I'm in love with the shape of you.","Ed Sheeran (pop, 2017)"
"Bad Guy: Duh!","Billie Eilish (pop, 2019)"
"Blinding Lights: I said ooh, I'm blinded by the lights.","The Weeknd (pop, 2019)"
"Levitating: If you wanna run away with me.","Dua Lipa (pop, 2020)"
"Despacito: Des-pa-cito.","Luis Fonsi ft. Daddy Yankee (Spanish reggaeton, 2017)"
"Despacito: Quiero respirar tu cuello despacito.","Luis Fonsi (Spanish, 2017)"
"Shape of You: Girl, you know I want your love.","Ed Sheeran (pop, 2017)"
"Viva La Vida: I used to rule the world.","Coldplay (pop rock, 2008)"
"Someone Like You: Never mind, I'll find someone like you.","Adele (ballad, 2011)"
"Rolling in the Deep: We could have had it all.","Adele (soul pop, 2010)"
"Hips Don't Lie: Shakira, Shakira!","Shakira ft. Wyclef Jean (Latin pop, 2005)"
"Waka Waka: Tsamina mina eh eh.","Shakira (World Cup, 2010)"
"La Bamba: Para bailar La Bamba.","Ritchie Valens (Spanish rock, 1958)"
"Volare: Volare, oh oh!","Dean Martin (Italian classic, 1958)"
"Non, je ne regrette rien.","Edith Piaf (French chanson, 1960)"
"La Vie en Rose: Quand il me prend dans ses bras.","Edith Piaf (French, 1947)"
"Surfin' USA: You can catch 'em funnin' up Hawaii way.","Beach Boys (surf rock, 1963)"
"Jai Ho: Jai Ho!","A.R. Rahman from Slumdog Millionaire (Hindi, 2008)"
"Kala Chashma: Kala chashma jardoosth.","From Baar Baar Dekho (Hindi pop, 2016)"
"Tum Hi Ho: Tum hi ho.","Arijit Singh from Aashiqui 2 (Hindi ballad, 2013)"
"Gur Nalo Ishq Mitha: Balle balle!","Chamkila (Punjabi folk, 1980s)"
"A whole new world: A new fantastic point of view.","Aladdin (Disney musical, 1992)"
"Let It Go: The cold never bothered me anyway.","Frozen (Disney musical, 2013)"
"Defying Gravity: I'm through accepting limits.","Wicked (musical theatre, 2003)"
"My Heart Will Go On: Near, far, wherever you are.","Celine Dion (Titanic ballad, 1997)"
"Thriller: 'Cause this is thriller, thriller night.","Michael Jackson (pop, sound effects, 1982)"
"Rapper's Delight: Hotel, motel, Holiday Inn.","Sugarhill Gang (hip-hop, 1979)"
